StartTime: 2021-12-24 17:34:30.960
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)
0x50	 17:34:30.960	-3.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-0.3900	-0.0055	0.00
0x50	 17:34:30.960	-3.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.8750	-0.0110	0.00
0x50	 17:34:31.059	-2.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	96.4490	0.0055	0.00
0x50	 17:34:31.060	-2.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-1.0931	-0.0055	0.00
0x50	 17:34:31.060	-2.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-62.5177	-0.0110	0.00
0x50	 17:34:31.177	-1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	97.2125	0.0055	0.00
0x50	 17:34:31.177	-1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-1.0382	-0.0055	0.00
0x50	 17:34:31.177	-1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-62.4902	-0.0110	0.00
0x50	 17:34:31.259	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	98.5803	0.0055	0.00
0x50	 17:34:31.261	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-0.9888	-0.0055	0.00
0x50	 17:34:31.261	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-62.4628	-0.0110	0.00
0x50	 17:34:31.372	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	101.8213	0.0055	0.00
0x50	 17:34:31.372	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-0.9393	-0.0055	0.00
0x50	 17:34:31.372	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-62.4463	-0.0110	0.00
0x50	 17:34:31.459	2.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	95.1581	0.0055	0.00
0x50	 17:34:31.460	2.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-0.9009	-0.0055	0.00
0x50	 17:34:31.460	2.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-62.4078	-0.0110	0.00
0x50	 17:34:31.574	3.0000	0.0000	0.0000	-0.1221	-0.0610	0.0000	0.0055	98.2672	0.0055	0.00
0x50	 17:34:31.574	3.0000	0.0000	0.0000	-0.1221	-0.0610	0.0000	0.0110	-0.8569	-0.0055	0.00
0x50	 17:34:31.574	3.0000	0.0000	0.0000	-0.1221	-0.0610	0.0000	0.0165	-62.4243	-0.0110	0.00
0x50	 17:34:31.659	4.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	95.3888	0.0055	0.00
0x50	 17:34:31.660	4.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-0.8185	-0.0055	0.00
0x50	 17:34:31.661	4.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-62.4463	-0.0110	0.00
0x50	 17:34:31.767	5.0000	0.0000	0.0000	-0.0610	0.0000	0.0000	0.0055	88.7311	0.0055	0.00
0x50	 17:34:31.767	5.0000	0.0000	0.0000	-0.0610	0.0000	0.0000	0.0110	-0.7855	-0.0055	0.00
0x50	 17:34:31.767	5.0000	0.0000	0.0000	-0.0610	0.0000	0.0000	0.0165	-62.4023	-0.0110	0.00
0x50	 17:34:31.859	6.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	95.3174	0.0055	0.00
0x50	 17:34:31.860	6.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-0.7416	-0.0055	0.00
0x50	 17:34:31.860	6.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-62.3859	-0.0110	0.00
0x50	 17:34:31.963	7.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	90.4230	0.0055	0.00
0x50	 17:34:31.963	7.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-0.7086	-0.0055	0.00
