StartTime: 2021-12-24 17:35:43.557
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)
0x50	 17:35:43.557	10.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-0.3076	-0.0055	0.00
0x50	 17:35:43.557	10.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.8750	-0.0110	0.00
0x50	 17:35:43.666	11.0000	0.0000	0.0610	0.0000	0.0000	0.0000	0.0055	86.8634	0.0055	0.00
0x50	 17:35:43.666	11.0000	0.0000	0.0610	0.0000	0.0000	0.0000	0.0110	-0.2966	-0.0055	0.00
0x50	 17:35:43.666	11.0000	0.0000	0.0610	0.0000	0.0000	0.0000	0.0165	-61.8750	-0.0110	0.00
0x50	 17:35:43.756	12.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	79.3597	0.0055	0.00
0x50	 17:35:43.757	12.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-0.2802	-0.0055	0.00
0x50	 17:35:43.757	12.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.8695	-0.0110	0.00
0x50	 17:35:43.856	13.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	76.7999	0.0055	0.00
0x50	 17:35:43.857	13.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-0.2637	-0.0055	0.00
0x50	 17:35:43.857	13.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.8695	-0.0110	0.00
0x50	 17:35:43.956	14.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	76.5363	0.0055	0.00
0x50	 17:35:43.957	14.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-0.2527	-0.0055	0.00
0x50	 17:35:43.959	14.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.8750	-0.0110	0.00
0x50	 17:35:44.092	15.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	72.7789	0.0055	0.00
0x50	 17:35:44.092	15.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-0.2417	-0.0055	0.00
0x50	 17:35:44.092	15.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.8750	-0.0110	0.00
0x50	 17:35:44.157	-16.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	72.0044	0.0055	0.00
0x50	 17:35:44.157	-16.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-0.2252	-0.0055	0.00
0x50	 17:35:44.157	-16.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.8750	-0.0110	0.00
0x50	 17:35:44.294	-15.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	82.1173	0.0055	0.00
0x50	 17:35:44.294	-15.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-0.2197	-0.0055	0.00
0x50	 17:35:44.294	-15.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.8805	-0.0110	0.00
0x50	 17:35:44.356	-14.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	87.8137	0.0055	0.00
0x50	 17:35:44.357	-14.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-0.2087	-0.0055	0.00
0x50	 17:35:44.357	-14.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.8805	-0.0110	0.00
0x50	 17:35:44.485	-13.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	94.7131	0.0055	0.00
0x50	 17:35:44.485	-13.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-0.1978	-0.0055	0.00
0x50	 17:35:44.485	-13.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.8860	-0.0110	0.00
0x50	 17:35:44.558	-12.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	93.5046	0.0055	0.00
0x50	 17:35:44.559	-12.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-0.1868	-0.0055	0.00
0x50	 17:35:44.559	-12.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.8860	-0.0110	0.00
0x50	 17:35:44.670	-11.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	105.0732	0.0055	0.00
0x50	 17:35:44.670	-11.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-1.4392	-0.0055	0.00
0x50	 17:35:44.670	-11.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.8311	-0.0110	0.00
0x50	 17:35:44.756	-10.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	114.9774	0.0055	0.00
0x50	 17:35:44.757	-10.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-1.3788	-0.0055	0.00
0x50	 17:35:44.757	-10.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.8530	-0.0110	0.00
0x50	 17:35:44.856	-9.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	117.2076	0.0055	0.00
0x50	 17:35:44.857	-9.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-1.3129	-0.0055	0.00
0x50	 17:35:44.857	-9.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.8640	-0.0110	0.00
0x50	 17:35:44.958	-8.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	114.6588	0.0055	0.00
0x50	 17:35:44.959	-8.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-1.2469	-0.0055	0.00
0x50	 17:35:44.959	-8.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.8585	-0.0110	0.00
0x50	 17:35:45.056	-7.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	100.0525	0.0055	0.00
0x50	 17:35:45.057	-7.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-1.1920	-0.0055	0.00
0x50	 17:35:45.107	-7.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.8311	-0.0110	0.00
0x50	 17:35:45.157	-6.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	91.6370	0.0055	0.00
0x50	 17:35:45.157	-6.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-2.3950	-0.0055	0.00
0x50	 17:35:45.157	-6.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.7322	-0.0110	0.00
0x50	 17:35:45.257	-5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	91.4502	0.0055	0.00
0x50	 17:35:45.259	-5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-2.2797	-0.0055	0.00
0x50	 17:35:45.259	-5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.7432	-0.0110	0.00
